[2026-03-09 15:33:56,456][__main__][INFO] - Found GPU with device_name NVIDIA A100 80GB PCIe. Will run RFdiffusion on NVIDIA A100 80GB PCIe
[2026-03-09 15:33:56,457][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /public/home/zhangyangroup/chengshiz/github/RFdiffusion_draw_protein_minimal/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-09 15:34:03,055][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-09 15:34:05,763][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-09 15:34:05,782][__main__][INFO] - Making design /public/home/zhangyangroup/chengshiz/github/RFdiffusion_draw_protein_minimal/runs/modatest/rfdiffusion/HHH_ems_00001-51_0
[2026-03-09 15:34:05,787][rfdiffusion.inference.model_runners][INFO] - Using contig: ['51-51']
[2026-03-09 15:34:05,800][rfdiffusion.inference.model_runners][INFO] - Sequence init: ---------------------------------------------------
[2026-03-09 15:34:07,040][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: ---------------------------------------------------
[2026-03-09 15:34:07,479][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: ---------------------------------------------------
[2026-03-09 15:34:07,915][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: ---------------------------------------------------
[2026-03-09 15:34:08,349][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: ---------------------------------------------------
[2026-03-09 15:34:08,782][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: ---------------------------------------------------
[2026-03-09 15:34:09,216][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: ---------------------------------------------------
[2026-03-09 15:34:09,648][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: ---------------------------------------------------
[2026-03-09 15:34:10,081][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: ---------------------------------------------------
[2026-03-09 15:34:10,514][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: ---------------------------------------------------
[2026-03-09 15:34:10,946][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: ---------------------------------------------------
[2026-03-09 15:34:11,379][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: ---------------------------------------------------
[2026-03-09 15:34:11,811][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: ---------------------------------------------------
[2026-03-09 15:34:12,243][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: ---------------------------------------------------
[2026-03-09 15:34:12,677][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: ---------------------------------------------------
[2026-03-09 15:34:13,110][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: ---------------------------------------------------
[2026-03-09 15:34:13,545][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: ---------------------------------------------------
[2026-03-09 15:34:13,978][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: ---------------------------------------------------
[2026-03-09 15:34:14,412][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: ---------------------------------------------------
[2026-03-09 15:34:14,846][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: ---------------------------------------------------
[2026-03-09 15:34:15,278][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: ---------------------------------------------------
[2026-03-09 15:34:15,712][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: ---------------------------------------------------
[2026-03-09 15:34:16,145][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: ---------------------------------------------------
[2026-03-09 15:34:16,578][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: ---------------------------------------------------
[2026-03-09 15:34:17,012][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: ---------------------------------------------------
[2026-03-09 15:34:17,445][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: ---------------------------------------------------
[2026-03-09 15:34:17,878][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: ---------------------------------------------------
[2026-03-09 15:34:18,359][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: ---------------------------------------------------
[2026-03-09 15:34:18,857][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: ---------------------------------------------------
[2026-03-09 15:34:19,295][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: ---------------------------------------------------
[2026-03-09 15:34:19,733][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: ---------------------------------------------------
[2026-03-09 15:34:20,173][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: ---------------------------------------------------
[2026-03-09 15:34:20,611][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: ---------------------------------------------------
[2026-03-09 15:34:21,048][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: ---------------------------------------------------
[2026-03-09 15:34:21,535][rfdiffusion.inference.model_runners][INFO] - Timestep 17, input to next step: ---------------------------------------------------
[2026-03-09 15:34:21,975][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: ---------------------------------------------------
[2026-03-09 15:34:22,416][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: ---------------------------------------------------
[2026-03-09 15:34:22,855][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: ---------------------------------------------------
[2026-03-09 15:34:23,304][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: ---------------------------------------------------
[2026-03-09 15:34:23,742][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: ---------------------------------------------------
[2026-03-09 15:34:24,180][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: ---------------------------------------------------
[2026-03-09 15:34:24,634][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: ---------------------------------------------------
[2026-03-09 15:34:25,155][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: ---------------------------------------------------
[2026-03-09 15:34:25,586][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: ---------------------------------------------------
[2026-03-09 15:34:26,019][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: ---------------------------------------------------
[2026-03-09 15:34:26,450][rfdiffusion.inference.model_runners][INFO] - Timestep 6, input to next step: ---------------------------------------------------
[2026-03-09 15:34:26,882][rfdiffusion.inference.model_runners][INFO] - Timestep 5, input to next step: ---------------------------------------------------
[2026-03-09 15:34:27,313][rfdiffusion.inference.model_runners][INFO] - Timestep 4, input to next step: ---------------------------------------------------
[2026-03-09 15:34:27,745][rfdiffusion.inference.model_runners][INFO] - Timestep 3, input to next step: ---------------------------------------------------
[2026-03-09 15:34:28,176][rfdiffusion.inference.model_runners][INFO] - Timestep 2, input to next step: ---------------------------------------------------
[2026-03-09 15:34:29,081][__main__][INFO] - Finished design in 0.39 minutes
