[2026-03-09 15:31:51,961][__main__][INFO] - Found GPU with device_name NVIDIA A100 80GB PCIe. Will run RFdiffusion on NVIDIA A100 80GB PCIe
[2026-03-09 15:31:51,962][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /public/home/zhangyangroup/chengshiz/github/RFdiffusion_draw_protein_minimal/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-09 15:31:58,648][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-09 15:32:01,363][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-09 15:32:01,384][__main__][INFO] - Making design /public/home/zhangyangroup/chengshiz/github/RFdiffusion_draw_protein_minimal/runs/modatest/rfdiffusion/HHH_ems_00001-51_0
[2026-03-09 15:32:01,388][rfdiffusion.inference.model_runners][INFO] - Using contig: ['51-51']
[2026-03-09 15:32:01,415][rfdiffusion.inference.model_runners][INFO] - Sequence init: ---------------------------------------------------
[2026-03-09 15:32:02,677][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: ---------------------------------------------------
[2026-03-09 15:32:03,119][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: ---------------------------------------------------
[2026-03-09 15:32:03,558][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: ---------------------------------------------------
[2026-03-09 15:32:03,997][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: ---------------------------------------------------
[2026-03-09 15:32:04,434][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: ---------------------------------------------------
[2026-03-09 15:32:04,871][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: ---------------------------------------------------
[2026-03-09 15:32:05,308][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: ---------------------------------------------------
[2026-03-09 15:32:05,745][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: ---------------------------------------------------
[2026-03-09 15:32:06,184][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: ---------------------------------------------------
[2026-03-09 15:32:06,621][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: ---------------------------------------------------
[2026-03-09 15:32:07,058][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: ---------------------------------------------------
[2026-03-09 15:32:07,494][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: ---------------------------------------------------
[2026-03-09 15:32:07,930][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: ---------------------------------------------------
[2026-03-09 15:32:08,367][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: ---------------------------------------------------
