[2026-03-09 15:40:20,088][__main__][INFO] - Found GPU with device_name NVIDIA A100 80GB PCIe. Will run RFdiffusion on NVIDIA A100 80GB PCIe
[2026-03-09 15:40:20,089][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /public/home/zhangyangroup/chengshiz/github/RFdiffusion_draw_protein_minimal/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-09 15:40:26,661][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-09 15:40:29,350][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-09 15:40:29,370][__main__][INFO] - Making design /public/home/zhangyangroup/chengshiz/github/RFdiffusion_draw_protein_minimal/runs/modatest/rfdiffusion/HHH_ems_00001-51_0
[2026-03-09 15:40:29,375][rfdiffusion.inference.model_runners][INFO] - Using contig: ['51-51']
[2026-03-09 15:40:29,388][rfdiffusion.inference.model_runners][INFO] - Sequence init: ---------------------------------------------------
[2026-03-09 15:40:30,648][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: ---------------------------------------------------
[2026-03-09 15:40:31,132][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: ---------------------------------------------------
[2026-03-09 15:40:31,606][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: ---------------------------------------------------
[2026-03-09 15:40:32,044][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: ---------------------------------------------------
[2026-03-09 15:40:32,480][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: ---------------------------------------------------
[2026-03-09 15:40:32,916][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: ---------------------------------------------------
[2026-03-09 15:40:33,351][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: ---------------------------------------------------
[2026-03-09 15:40:33,786][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: ---------------------------------------------------
[2026-03-09 15:40:34,222][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: ---------------------------------------------------
[2026-03-09 15:40:34,657][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: ---------------------------------------------------
[2026-03-09 15:40:35,093][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: ---------------------------------------------------
[2026-03-09 15:40:35,529][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: ---------------------------------------------------
[2026-03-09 15:40:36,043][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: ---------------------------------------------------
[2026-03-09 15:40:36,476][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: ---------------------------------------------------
[2026-03-09 15:40:36,908][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: ---------------------------------------------------
[2026-03-09 15:40:37,341][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: ---------------------------------------------------
[2026-03-09 15:40:37,774][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: ---------------------------------------------------
[2026-03-09 15:40:38,207][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: ---------------------------------------------------
[2026-03-09 15:40:38,639][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: ---------------------------------------------------
[2026-03-09 15:40:39,071][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: ---------------------------------------------------
[2026-03-09 15:40:39,503][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: ---------------------------------------------------
[2026-03-09 15:40:39,936][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: ---------------------------------------------------
[2026-03-09 15:40:40,368][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: ---------------------------------------------------
[2026-03-09 15:40:40,801][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: ---------------------------------------------------
[2026-03-09 15:40:41,236][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: ---------------------------------------------------
[2026-03-09 15:40:41,669][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: ---------------------------------------------------
[2026-03-09 15:40:42,100][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: ---------------------------------------------------
[2026-03-09 15:40:42,532][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: ---------------------------------------------------
[2026-03-09 15:40:42,964][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: ---------------------------------------------------
[2026-03-09 15:40:43,437][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: ---------------------------------------------------
[2026-03-09 15:40:43,913][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: ---------------------------------------------------
[2026-03-09 15:40:44,348][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: ---------------------------------------------------
[2026-03-09 15:40:44,783][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: ---------------------------------------------------
[2026-03-09 15:40:45,216][rfdiffusion.inference.model_runners][INFO] - Timestep 17, input to next step: ---------------------------------------------------
[2026-03-09 15:40:45,649][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: ---------------------------------------------------
[2026-03-09 15:40:46,082][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: ---------------------------------------------------
[2026-03-09 15:40:46,515][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: ---------------------------------------------------
[2026-03-09 15:40:46,948][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: ---------------------------------------------------
[2026-03-09 15:40:47,381][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: ---------------------------------------------------
[2026-03-09 15:40:47,815][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: ---------------------------------------------------
[2026-03-09 15:40:48,247][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: ---------------------------------------------------
[2026-03-09 15:40:48,680][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: ---------------------------------------------------
[2026-03-09 15:40:49,112][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: ---------------------------------------------------
[2026-03-09 15:40:49,544][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: ---------------------------------------------------
[2026-03-09 15:40:49,976][rfdiffusion.inference.model_runners][INFO] - Timestep 6, input to next step: ---------------------------------------------------
[2026-03-09 15:40:50,410][rfdiffusion.inference.model_runners][INFO] - Timestep 5, input to next step: ---------------------------------------------------
[2026-03-09 15:40:50,843][rfdiffusion.inference.model_runners][INFO] - Timestep 4, input to next step: ---------------------------------------------------
[2026-03-09 15:40:51,275][rfdiffusion.inference.model_runners][INFO] - Timestep 3, input to next step: ---------------------------------------------------
[2026-03-09 15:40:51,710][rfdiffusion.inference.model_runners][INFO] - Timestep 2, input to next step: ---------------------------------------------------
[2026-03-09 15:40:52,615][__main__][INFO] - Finished design in 0.39 minutes
